Counts,GestreIdentifier,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
26820,0,764.0,604.0,0.0,3632.0,3272.0,13516.0,13520.0,2304.0
26821,0,764.0,612.0,0.0,3656.0,3280.0,13508.0,13516.0,2284.0
26822,0,776.0,616.0,0.0,3652.0,3256.0,13496.0,13524.0,2264.0
26823,0,760.0,616.0,0.0,3644.0,3272.0,13512.0,13512.0,2284.0
26824,0,764.0,616.0,0.0,3656.0,3264.0,13540.0,13520.0,2288.0
26825,0,800.0,632.0,0.0,3644.0,3284.0,13520.0,13532.0,2288.0
26826,0,764.0,620.0,0.0,3656.0,3260.0,13516.0,13524.0,2288.0
26827,0,776.0,624.0,0.0,3664.0,3264.0,13528.0,13536.0,2288.0
26828,0,752.0,620.0,0.0,3652.0,3264.0,13500.0,13520.0,2288.0
26829,0,772.0,588.0,0.0,3636.0,3256.0,13544.0,13508.0,2292.0
26830,0,784.0,608.0,0.0,3644.0,3260.0,13524.0,13500.0,2288.0
26831,0,768.0,632.0,0.0,3648.0,3264.0,13536.0,13536.0,2280.0
26832,0,776.0,616.0,0.0,3628.0,3260.0,13504.0,13508.0,2280.0
26833,0,772.0,628.0,0.0,3640.0,3288.0,13536.0,13536.0,2304.0
26834,0,764.0,632.0,0.0,3644.0,3248.0,13520.0,13536.0,2296.0
26835,0,764.0,636.0,0.0,3648.0,3296.0,13500.0,13536.0,2292.0
26836,0,804.0,640.0,0.0,3656.0,3268.0,13524.0,13500.0,2292.0
26837,0,776.0,640.0,0.0,3644.0,3264.0,13508.0,13504.0,2276.0
26838,0,768.0,636.0,0.0,3660.0,3260.0,13520.0,13536.0,2284.0
26839,0,784.0,636.0,0.0,3672.0,3264.0,13524.0,13500.0,2268.0
26840,0,740.0,632.0,0.0,3652.0,3244.0,13504.0,13552.0,2292.0
26841,0,768.0,624.0,0.0,3644.0,3268.0,13520.0,13512.0,2268.0
26842,0,748.0,656.0,0.0,3668.0,3252.0,13532.0,13532.0,2280.0
26843,0,784.0,620.0,0.0,3672.0,3280.0,13536.0,13544.0,2292.0
26844,0,792.0,616.0,0.0,3648.0,3248.0,13528.0,13512.0,2288.0
26845,0,760.0,624.0,0.0,3656.0,3244.0,13524.0,13500.0,2308.0
26846,0,784.0,640.0,0.0,3644.0,3260.0,13508.0,13500.0,2304.0
26847,0,768.0,604.0,0.0,3640.0,3264.0,13492.0,13524.0,2252.0
26848,0,760.0,624.0,0.0,3640.0,3276.0,13516.0,13512.0,2284.0
26849,0,772.0,628.0,0.0,3648.0,3256.0,13496.0,13508.0,2264.0
26850,0,768.0,628.0,0.0,3644.0,3292.0,13504.0,13512.0,2276.0
26851,0,776.0,636.0,0.0,3632.0,3252.0,13528.0,13508.0,2292.0
26852,0,768.0,616.0,0.0,3652.0,3272.0,13524.0,13536.0,2292.0
26853,0,772.0,624.0,0.0,3640.0,3256.0,13500.0,13500.0,2284.0
26854,0,772.0,656.0,0.0,3644.0,3264.0,13536.0,13512.0,2304.0
26855,0,752.0,620.0,0.0,3644.0,3260.0,13504.0,13492.0,2276.0
26856,0,768.0,624.0,0.0,3640.0,3252.0,13532.0,13488.0,2288.0
26857,0,764.0,624.0,0.0,3664.0,3264.0,13528.0,13520.0,2304.0
26858,0,760.0,616.0,0.0,3652.0,3260.0,13496.0,13512.0,2300.0
26859,0,760.0,632.0,0.0,3656.0,3256.0,13500.0,13540.0,2288.0
26860,0,784.0,632.0,0.0,3632.0,3280.0,13560.0,13540.0,2276.0
26861,0,760.0,608.0,0.0,3612.0,3252.0,13520.0,13520.0,2268.0
26862,0,756.0,632.0,0.0,3636.0,3228.0,13520.0,13500.0,2280.0
26863,0,776.0,624.0,0.0,3644.0,3264.0,13508.0,13500.0,2304.0
26864,0,768.0,636.0,0.0,3648.0,3252.0,13508.0,13504.0,2288.0
26865,0,740.0,640.0,0.0,3640.0,3256.0,13512.0,13500.0,2288.0
26866,0,772.0,624.0,0.0,3656.0,3280.0,13520.0,13524.0,2284.0
26867,0,772.0,616.0,0.0,3664.0,3272.0,13512.0,13548.0,2276.0
26868,0,764.0,632.0,0.0,3652.0,3268.0,13536.0,13500.0,2288.0
26869,0,768.0,624.0,0.0,3648.0,3264.0,13532.0,13500.0,2284.0
26870,0,776.0,640.0,0.0,3644.0,3280.0,13508.0,13512.0,2284.0
26871,0,784.0,632.0,0.0,3636.0,3260.0,13492.0,13520.0,2272.0
26872,0,756.0,636.0,0.0,3660.0,3284.0,13524.0,13520.0,2292.0
26873,0,764.0,636.0,0.0,3644.0,3264.0,13532.0,13532.0,2272.0
26874,0,764.0,600.0,0.0,3644.0,3244.0,13512.0,13508.0,2280.0
26875,0,756.0,620.0,0.0,3676.0,3300.0,13492.0,13544.0,2300.0
26876,0,784.0,624.0,0.0,3644.0,3296.0,13512.0,13528.0,2288.0
26877,0,784.0,620.0,0.0,3656.0,3260.0,13504.0,13524.0,2304.0
26878,0,768.0,616.0,0.0,3628.0,3272.0,13492.0,13516.0,2304.0
26879,0,752.0,612.0,0.0,3668.0,3252.0,13516.0,13532.0,2284.0
26880,0,760.0,628.0,0.0,3652.0,3256.0,13500.0,13536.0,2268.0
26881,0,764.0,644.0,0.0,3644.0,3260.0,13512.0,13516.0,2292.0
26882,0,776.0,636.0,0.0,3648.0,3276.0,13528.0,13532.0,2304.0
26883,0,764.0,616.0,0.0,3640.0,3260.0,13524.0,13512.0,2256.0
26884,0,756.0,628.0,0.0,3648.0,3264.0,13536.0,13508.0,2264.0
26885,0,776.0,620.0,0.0,3652.0,3276.0,13536.0,13524.0,2300.0
26886,0,784.0,632.0,0.0,3640.0,3260.0,13512.0,13500.0,2272.0
26887,0,768.0,604.0,0.0,3656.0,3272.0,13536.0,13528.0,2288.0
26888,0,776.0,624.0,0.0,3632.0,3256.0,13508.0,13528.0,2280.0
26889,0,784.0,640.0,0.0,3612.0,3272.0,13500.0,13500.0,2272.0
26890,0,768.0,624.0,0.0,3652.0,3260.0,13496.0,13528.0,2288.0
26891,0,764.0,640.0,0.0,3648.0,3252.0,13532.0,13488.0,2304.0
26892,0,780.0,640.0,0.0,3640.0,3272.0,13508.0,13528.0,2304.0
26893,0,760.0,596.0,0.0,3636.0,3260.0,13492.0,13508.0,2276.0
26894,0,768.0,628.0,0.0,3664.0,3272.0,13500.0,13520.0,2272.0
26895,0,732.0,616.0,0.0,3648.0,3256.0,13536.0,13500.0,2308.0
26896,0,768.0,640.0,0.0,3628.0,3248.0,13520.0,13528.0,2268.0
26897,0,764.0,616.0,0.0,3672.0,3260.0,13508.0,13532.0,2304.0
