Counts,GestreIdentifier,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
10588,0,712.0,624.0,0.0,3552.0,3132.0,13520.0,13500.0,2252.0
10589,0,728.0,612.0,0.0,3576.0,3128.0,13512.0,13536.0,2220.0
10590,0,736.0,620.0,0.0,3580.0,3172.0,13548.0,13524.0,2200.0
10591,0,752.0,648.0,0.0,3596.0,3160.0,13492.0,13524.0,2232.0
10592,0,768.0,608.0,0.0,3600.0,3148.0,13524.0,13504.0,2216.0
10593,0,716.0,604.0,0.0,3568.0,3172.0,13512.0,13524.0,2224.0
10594,0,724.0,624.0,0.0,3564.0,3144.0,13532.0,13528.0,2216.0
10595,0,732.0,624.0,0.0,3588.0,3152.0,13520.0,13508.0,2212.0
10596,0,740.0,628.0,0.0,3576.0,3132.0,13512.0,13520.0,2224.0
10597,0,716.0,624.0,0.0,3584.0,3132.0,13516.0,13536.0,2208.0
10598,0,716.0,612.0,0.0,3588.0,3160.0,13520.0,13544.0,2232.0
10599,0,732.0,588.0,0.0,3568.0,3156.0,13536.0,13528.0,2212.0
10600,0,716.0,612.0,0.0,3576.0,3132.0,13484.0,13512.0,2228.0
10601,0,724.0,632.0,0.0,3588.0,3140.0,13520.0,13536.0,2200.0
10602,0,736.0,620.0,0.0,3560.0,3132.0,13512.0,13512.0,2216.0
10603,0,736.0,612.0,0.0,3572.0,3152.0,13500.0,13536.0,2220.0
10604,0,716.0,616.0,0.0,3580.0,3140.0,13524.0,13544.0,2196.0
10605,0,740.0,628.0,0.0,3576.0,3136.0,13496.0,13508.0,2220.0
10606,0,760.0,612.0,0.0,3576.0,3132.0,13520.0,13508.0,2236.0
10607,0,716.0,628.0,0.0,3564.0,3168.0,13544.0,13500.0,2240.0
10608,0,736.0,600.0,0.0,3600.0,3128.0,13536.0,13516.0,2220.0
10609,0,700.0,616.0,0.0,3572.0,3144.0,13540.0,13532.0,2248.0
10610,0,728.0,632.0,0.0,3572.0,3136.0,13516.0,13536.0,2224.0
10611,0,716.0,640.0,0.0,3580.0,3132.0,13504.0,13508.0,2224.0
10612,0,720.0,608.0,0.0,3580.0,3152.0,13528.0,13512.0,2216.0
10613,0,740.0,604.0,0.0,3576.0,3128.0,13524.0,13500.0,2232.0
10614,0,724.0,632.0,0.0,3592.0,3152.0,13540.0,13512.0,2236.0
10615,0,740.0,612.0,0.0,3580.0,3132.0,13512.0,13532.0,2220.0
10616,0,720.0,616.0,0.0,3572.0,3120.0,13528.0,13516.0,2244.0
