Counts,GestreIdentifier,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
1,0,588.0,508.0,0.0,3480.0,2424.0,13504.0,13516.0,2444.0
2,0,596.0,524.0,0.0,3484.0,2396.0,13520.0,13536.0,2404.0
3,0,604.0,516.0,0.0,3452.0,2416.0,13500.0,13500.0,2440.0
4,0,620.0,500.0,0.0,3488.0,2428.0,13496.0,13492.0,2428.0
5,0,608.0,520.0,0.0,3476.0,2400.0,13484.0,13524.0,2440.0
6,0,604.0,512.0,0.0,3472.0,2432.0,13528.0,13516.0,2420.0
7,0,604.0,528.0,0.0,3488.0,2400.0,13532.0,13508.0,2436.0
8,0,600.0,516.0,0.0,3504.0,2400.0,13528.0,13524.0,2428.0
9,0,608.0,508.0,0.0,3488.0,2420.0,13500.0,13516.0,2428.0
10,0,604.0,528.0,0.0,3468.0,2412.0,13504.0,13496.0,2456.0
11,0,612.0,516.0,0.0,3496.0,2420.0,13496.0,13520.0,2440.0
12,0,608.0,512.0,0.0,3468.0,2424.0,13504.0,13500.0,2448.0
13,0,608.0,528.0,0.0,3488.0,2432.0,13496.0,13508.0,2428.0
14,0,608.0,500.0,0.0,3476.0,2424.0,13536.0,13528.0,2428.0
15,0,604.0,504.0,0.0,3504.0,2412.0,13492.0,13536.0,2428.0
16,0,592.0,520.0,0.0,3484.0,2424.0,13516.0,13516.0,2428.0
17,0,608.0,496.0,0.0,3488.0,2420.0,13504.0,13536.0,2428.0
18,0,624.0,508.0,0.0,3488.0,2424.0,13500.0,13508.0,2440.0
19,0,592.0,524.0,0.0,3468.0,2412.0,13528.0,13508.0,2436.0
20,0,616.0,532.0,0.0,3444.0,2432.0,13504.0,13536.0,2464.0
21,0,604.0,500.0,0.0,3480.0,2432.0,13524.0,13512.0,2428.0
22,0,588.0,516.0,0.0,3468.0,2432.0,13520.0,13508.0,2428.0
23,0,588.0,484.0,0.0,3480.0,2400.0,13488.0,13500.0,2428.0
