Counts,GestreIdentifier,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
32006,0,732.0,648.0,0.0,3608.0,3192.0,13496.0,13508.0,2272.0
32007,0,760.0,648.0,0.0,3612.0,3176.0,13504.0,13520.0,2244.0
32008,0,768.0,636.0,0.0,3580.0,3164.0,13512.0,13468.0,2280.0
32009,0,764.0,632.0,0.0,3624.0,3184.0,13544.0,13512.0,2260.0
32010,0,776.0,624.0,0.0,3612.0,3172.0,13516.0,13508.0,2252.0
32011,0,764.0,636.0,0.0,3612.0,3180.0,13492.0,13524.0,2252.0
32012,0,768.0,636.0,0.0,3580.0,3156.0,13512.0,13532.0,2252.0
32013,0,768.0,636.0,0.0,3600.0,3192.0,13508.0,13524.0,2264.0
32014,0,764.0,644.0,0.0,3600.0,3168.0,13524.0,13516.0,2244.0
32015,0,772.0,640.0,0.0,3636.0,3192.0,13544.0,13544.0,2264.0
32016,0,800.0,648.0,0.0,3596.0,3164.0,13520.0,13532.0,2260.0
32017,0,764.0,648.0,0.0,3576.0,3164.0,13536.0,13528.0,2264.0
32018,0,756.0,636.0,0.0,3596.0,3180.0,13512.0,13516.0,2260.0
32019,0,760.0,656.0,0.0,3620.0,3180.0,13512.0,13536.0,2256.0
32020,0,768.0,640.0,0.0,3588.0,3184.0,13516.0,13516.0,2264.0
32021,0,768.0,656.0,0.0,3620.0,3180.0,13524.0,13532.0,2280.0
32022,0,776.0,652.0,0.0,3608.0,3172.0,13500.0,13544.0,2272.0
32023,0,756.0,648.0,0.0,3604.0,3172.0,13504.0,13504.0,2272.0
32024,0,764.0,644.0,0.0,3604.0,3208.0,13512.0,13516.0,2236.0
32025,0,776.0,660.0,0.0,3608.0,3180.0,13512.0,13520.0,2276.0
32026,0,772.0,632.0,0.0,3632.0,3192.0,13516.0,13520.0,2272.0
32027,0,768.0,664.0,0.0,3612.0,3184.0,13540.0,13548.0,2272.0
32028,0,772.0,644.0,0.0,3616.0,3200.0,13508.0,13544.0,2264.0
32029,0,772.0,672.0,0.0,3640.0,3164.0,13528.0,13524.0,2284.0
32030,0,776.0,652.0,0.0,3604.0,3184.0,13540.0,13540.0,2280.0
32031,0,780.0,656.0,0.0,3632.0,3184.0,13528.0,13516.0,2260.0
32032,0,740.0,652.0,0.0,3616.0,3176.0,13532.0,13524.0,2260.0
32033,0,780.0,640.0,0.0,3616.0,3200.0,13520.0,13524.0,2272.0
32034,0,776.0,644.0,0.0,3596.0,3184.0,13524.0,13500.0,2268.0
32035,0,768.0,664.0,0.0,3612.0,3180.0,13512.0,13516.0,2264.0
32036,0,768.0,632.0,0.0,3616.0,3192.0,13528.0,13524.0,2256.0
32037,0,788.0,644.0,0.0,3620.0,3196.0,13552.0,13504.0,2256.0
32038,0,772.0,640.0,0.0,3608.0,3200.0,13536.0,13516.0,2244.0
32039,0,768.0,644.0,0.0,3600.0,3200.0,13516.0,13500.0,2256.0
32040,0,748.0,636.0,0.0,3608.0,3164.0,13516.0,13520.0,2280.0
32041,0,760.0,652.0,0.0,3612.0,3196.0,13504.0,13504.0,2268.0
32042,0,776.0,636.0,0.0,3592.0,3192.0,13500.0,13508.0,2276.0
32043,0,744.0,636.0,0.0,3596.0,3196.0,13496.0,13508.0,2272.0
32044,0,752.0,660.0,0.0,3600.0,3184.0,13508.0,13536.0,2256.0
32045,0,776.0,652.0,0.0,3596.0,3164.0,13528.0,13536.0,2260.0
32046,0,784.0,648.0,0.0,3624.0,3188.0,13516.0,13528.0,2252.0
32047,0,768.0,648.0,0.0,3608.0,3172.0,13504.0,13516.0,2272.0
32048,0,776.0,648.0,0.0,3616.0,3200.0,13528.0,13536.0,2280.0
32049,0,784.0,652.0,0.0,3592.0,3184.0,13520.0,13520.0,2268.0
32050,0,764.0,628.0,0.0,3608.0,3172.0,13520.0,13516.0,2272.0
32051,0,760.0,636.0,0.0,3620.0,3180.0,13508.0,13500.0,2252.0
32052,0,764.0,644.0,0.0,3616.0,3188.0,13536.0,13520.0,2272.0
32053,0,760.0,636.0,0.0,3616.0,3200.0,13528.0,13524.0,2256.0
32054,0,764.0,676.0,0.0,3620.0,3176.0,13536.0,13512.0,2276.0
32055,0,768.0,644.0,0.0,3620.0,3192.0,13536.0,13512.0,2256.0
32056,0,768.0,648.0,0.0,3608.0,3184.0,13544.0,13536.0,2244.0
32057,0,764.0,636.0,0.0,3608.0,3192.0,13520.0,13492.0,2264.0
32058,0,772.0,652.0,0.0,3612.0,3212.0,13536.0,13528.0,2252.0
32059,0,768.0,640.0,0.0,3608.0,3200.0,13524.0,13500.0,2248.0
32060,0,768.0,652.0,0.0,3608.0,3196.0,13524.0,13516.0,2256.0
32061,0,760.0,636.0,0.0,3580.0,3200.0,13524.0,13520.0,2248.0
32062,0,776.0,652.0,0.0,3620.0,3200.0,13500.0,13516.0,2252.0
32063,0,772.0,644.0,0.0,3608.0,3188.0,13504.0,13504.0,2248.0
32064,0,784.0,656.0,0.0,3608.0,3184.0,13532.0,13488.0,2252.0
32065,0,760.0,636.0,0.0,3580.0,3176.0,13532.0,13500.0,2236.0
32066,0,768.0,644.0,0.0,3612.0,3184.0,13532.0,13528.0,2252.0
32067,0,768.0,664.0,0.0,3616.0,3172.0,13504.0,13508.0,2236.0
32068,0,760.0,656.0,0.0,3600.0,3172.0,13536.0,13516.0,2216.0
32069,0,756.0,664.0,0.0,3596.0,3176.0,13556.0,13536.0,2248.0
32070,0,756.0,652.0,0.0,3580.0,3192.0,13528.0,13524.0,2224.0
32071,0,756.0,640.0,0.0,3616.0,3200.0,13524.0,13524.0,2240.0
32072,0,776.0,660.0,0.0,3620.0,3188.0,13504.0,13536.0,2236.0
32073,0,772.0,632.0,0.0,3632.0,3188.0,13508.0,13552.0,2256.0
32074,0,744.0,648.0,0.0,3596.0,3188.0,13520.0,13496.0,2240.0
32075,0,764.0,632.0,0.0,3596.0,3188.0,13496.0,13536.0,2252.0
32076,0,776.0,636.0,0.0,3612.0,3164.0,13552.0,13500.0,2240.0
32077,0,764.0,636.0,0.0,3616.0,3196.0,13532.0,13536.0,2256.0
32078,0,752.0,652.0,0.0,3596.0,3196.0,13520.0,13544.0,2256.0
32079,0,776.0,652.0,0.0,3624.0,3184.0,13548.0,13516.0,2248.0
32080,0,756.0,640.0,0.0,3600.0,3176.0,13540.0,13520.0,2260.0
32081,0,732.0,656.0,0.0,3620.0,3196.0,13516.0,13528.0,2260.0
32082,0,776.0,628.0,0.0,3596.0,3180.0,13536.0,13520.0,2244.0
32083,0,784.0,652.0,0.0,3608.0,3180.0,13516.0,13500.0,2256.0
32084,0,768.0,656.0,0.0,3608.0,3200.0,13552.0,13524.0,2236.0
32085,0,760.0,676.0,0.0,3580.0,3192.0,13500.0,13528.0,2236.0
32086,0,760.0,636.0,0.0,3616.0,3184.0,13496.0,13512.0,2248.0
32087,0,764.0,644.0,0.0,3592.0,3200.0,13500.0,13528.0,2268.0
32088,0,748.0,656.0,0.0,3564.0,3192.0,13500.0,13520.0,2264.0
32089,0,760.0,656.0,0.0,3600.0,3184.0,13536.0,13544.0,2236.0
32090,0,776.0,656.0,0.0,3608.0,3192.0,13536.0,13508.0,2272.0
32091,0,776.0,652.0,0.0,3600.0,3192.0,13532.0,13540.0,2244.0
32092,0,784.0,648.0,0.0,3596.0,3188.0,13496.0,13524.0,2240.0
32093,0,788.0,648.0,0.0,3600.0,3200.0,13536.0,13536.0,2244.0
32094,0,764.0,664.0,0.0,3608.0,3188.0,13532.0,13524.0,2264.0
32095,0,756.0,636.0,0.0,3600.0,3200.0,13500.0,13520.0,2272.0
32096,0,748.0,632.0,0.0,3612.0,3196.0,13528.0,13528.0,2256.0
32097,0,768.0,652.0,0.0,3612.0,3176.0,13504.0,13536.0,2264.0
32098,0,772.0,652.0,0.0,3596.0,3156.0,13516.0,13500.0,2272.0
32099,0,764.0,660.0,0.0,3596.0,3196.0,13536.0,13512.0,2260.0
32100,0,784.0,656.0,0.0,3612.0,3164.0,13500.0,13500.0,2256.0
32101,0,768.0,652.0,0.0,3612.0,3188.0,13508.0,13500.0,2260.0
32102,0,776.0,656.0,0.0,3580.0,3164.0,13524.0,13544.0,2252.0
32103,0,768.0,636.0,0.0,3612.0,3184.0,13516.0,13508.0,2272.0
32104,0,756.0,632.0,0.0,3624.0,3208.0,13536.0,13532.0,2272.0
32105,0,756.0,632.0,0.0,3580.0,3200.0,13532.0,13500.0,2256.0
32106,0,780.0,644.0,0.0,3624.0,3196.0,13516.0,13512.0,2252.0
32107,0,748.0,640.0,0.0,3608.0,3208.0,13500.0,13528.0,2252.0
32108,0,752.0,656.0,0.0,3604.0,3196.0,13552.0,13516.0,2272.0
32109,0,772.0,652.0,0.0,3612.0,3160.0,13516.0,13524.0,2272.0
32110,0,764.0,648.0,0.0,3612.0,3204.0,13516.0,13532.0,2276.0
32111,0,748.0,652.0,0.0,3612.0,3196.0,13516.0,13516.0,2276.0
32112,0,768.0,636.0,0.0,3616.0,3164.0,13516.0,13536.0,2244.0
32113,0,772.0,636.0,0.0,3600.0,3192.0,13520.0,13508.0,2240.0
32114,0,768.0,636.0,0.0,3608.0,3148.0,13560.0,13476.0,2260.0
32115,0,772.0,628.0,0.0,3600.0,3148.0,13524.0,13504.0,2272.0
32116,0,760.0,664.0,0.0,3612.0,3184.0,13520.0,13532.0,2264.0
32117,0,768.0,648.0,0.0,3632.0,3188.0,13508.0,13512.0,2264.0
32118,0,752.0,656.0,0.0,3616.0,3176.0,13508.0,13564.0,2276.0
32119,0,760.0,632.0,0.0,3620.0,3192.0,13520.0,13552.0,2252.0
32120,0,768.0,640.0,0.0,3584.0,3188.0,13524.0,13500.0,2260.0
32121,0,768.0,652.0,0.0,3612.0,3176.0,13520.0,13540.0,2272.0
32122,0,764.0,656.0,0.0,3616.0,3184.0,13552.0,13552.0,2260.0
32123,0,768.0,636.0,0.0,3608.0,3180.0,13532.0,13512.0,2264.0
32124,0,776.0,644.0,0.0,3604.0,3208.0,13528.0,13504.0,2248.0
32125,0,748.0,648.0,0.0,3616.0,3180.0,13508.0,13536.0,2264.0
32126,0,760.0,640.0,0.0,3616.0,3204.0,13528.0,13520.0,2268.0
32127,0,788.0,648.0,0.0,3580.0,3184.0,13520.0,13532.0,2260.0
32128,0,764.0,656.0,0.0,3600.0,3160.0,13544.0,13516.0,2252.0
32129,0,760.0,620.0,0.0,3604.0,3208.0,13520.0,13552.0,2260.0
32130,0,768.0,672.0,0.0,3604.0,3196.0,13540.0,13504.0,2256.0
32131,0,756.0,652.0,0.0,3596.0,3192.0,13516.0,13496.0,2240.0
32132,0,776.0,636.0,0.0,3604.0,3200.0,13504.0,13512.0,2256.0
32133,0,768.0,652.0,0.0,3600.0,3200.0,13520.0,13504.0,2280.0
32134,0,764.0,648.0,0.0,3600.0,3200.0,13512.0,13528.0,2256.0
32135,0,772.0,632.0,0.0,3600.0,3188.0,13500.0,13536.0,2264.0
32136,0,768.0,672.0,0.0,3600.0,3176.0,13504.0,13548.0,2288.0
32137,0,784.0,636.0,0.0,3608.0,3164.0,13504.0,13496.0,2244.0
32138,0,732.0,656.0,0.0,3608.0,3196.0,13500.0,13544.0,2256.0
32139,0,764.0,636.0,0.0,3596.0,3180.0,13516.0,13528.0,2268.0
32140,0,764.0,648.0,0.0,3596.0,3204.0,13536.0,13504.0,2272.0
32141,0,744.0,672.0,0.0,3620.0,3176.0,13528.0,13536.0,2256.0
32142,0,776.0,672.0,0.0,3616.0,3172.0,13496.0,13500.0,2252.0
32143,0,756.0,636.0,0.0,3592.0,3176.0,13504.0,13512.0,2260.0
32144,0,776.0,640.0,0.0,3596.0,3184.0,13500.0,13520.0,2236.0
32145,0,752.0,640.0,0.0,3608.0,3196.0,13504.0,13536.0,2272.0
32146,0,776.0,644.0,0.0,3588.0,3180.0,13496.0,13504.0,2244.0
32147,0,756.0,636.0,0.0,3604.0,3184.0,13536.0,13512.0,2248.0
32148,0,752.0,648.0,0.0,3600.0,3180.0,13536.0,13512.0,2268.0
32149,0,748.0,648.0,0.0,3624.0,3188.0,13528.0,13524.0,2272.0
32150,0,768.0,640.0,0.0,3596.0,3216.0,13512.0,13496.0,2260.0
32151,0,772.0,644.0,0.0,3612.0,3184.0,13516.0,13516.0,2252.0
32152,0,764.0,664.0,0.0,3616.0,3176.0,13516.0,13500.0,2280.0
32153,0,764.0,664.0,0.0,3592.0,3184.0,13504.0,13504.0,2260.0
32154,0,772.0,640.0,0.0,3604.0,3188.0,13504.0,13508.0,2272.0
32155,0,764.0,632.0,0.0,3596.0,3196.0,13520.0,13492.0,2256.0
32156,0,752.0,656.0,0.0,3592.0,3196.0,13484.0,13520.0,2264.0
32157,0,752.0,652.0,0.0,3600.0,3188.0,13504.0,13500.0,2236.0
32158,0,776.0,648.0,0.0,3616.0,3184.0,13548.0,13500.0,2272.0
32159,0,764.0,656.0,0.0,3616.0,3176.0,13512.0,13504.0,2252.0
32160,0,768.0,648.0,0.0,3592.0,3200.0,13488.0,13536.0,2256.0
32161,0,768.0,640.0,0.0,3580.0,3200.0,13520.0,13552.0,2272.0
32162,0,760.0,656.0,0.0,3604.0,3172.0,13500.0,13500.0,2252.0
32163,0,764.0,652.0,0.0,3596.0,3184.0,13540.0,13512.0,2276.0
32164,0,800.0,648.0,0.0,3608.0,3204.0,13492.0,13512.0,2268.0
32165,0,772.0,672.0,0.0,3616.0,3132.0,13536.0,13484.0,2268.0
32166,0,788.0,652.0,0.0,3604.0,3180.0,13512.0,13516.0,2236.0
32167,0,776.0,636.0,0.0,3604.0,3168.0,13528.0,13528.0,2268.0
32168,0,772.0,652.0,0.0,3588.0,3184.0,13496.0,13532.0,2272.0
32169,0,756.0,668.0,0.0,3588.0,3148.0,13504.0,13520.0,2244.0
32170,0,756.0,636.0,0.0,3616.0,3184.0,13520.0,13504.0,2260.0
32171,0,732.0,644.0,0.0,3580.0,3164.0,13516.0,13536.0,2268.0
32172,0,732.0,644.0,0.0,3600.0,3184.0,13520.0,13548.0,2256.0
32173,0,756.0,652.0,0.0,3616.0,3180.0,13512.0,13508.0,2272.0
32174,0,772.0,644.0,0.0,3612.0,3192.0,13536.0,13508.0,2260.0
32175,0,776.0,660.0,0.0,3600.0,3164.0,13512.0,13488.0,2272.0
32176,0,772.0,640.0,0.0,3608.0,3184.0,13500.0,13536.0,2244.0
32177,0,780.0,648.0,0.0,3616.0,3192.0,13520.0,13524.0,2276.0
32178,0,768.0,648.0,0.0,3584.0,3160.0,13536.0,13520.0,2240.0
32179,0,760.0,640.0,0.0,3616.0,3188.0,13512.0,13536.0,2248.0
32180,0,780.0,648.0,0.0,3600.0,3192.0,13484.0,13496.0,2252.0
32181,0,768.0,644.0,0.0,3616.0,3192.0,13508.0,13508.0,2276.0
32182,0,772.0,656.0,0.0,3596.0,3200.0,13508.0,13492.0,2252.0
32183,0,780.0,664.0,0.0,3616.0,3184.0,13524.0,13512.0,2244.0
32184,0,768.0,644.0,0.0,3596.0,3192.0,13512.0,13504.0,2252.0
32185,0,776.0,644.0,0.0,3600.0,3176.0,13488.0,13516.0,2252.0
32186,0,760.0,628.0,0.0,3608.0,3192.0,13520.0,13552.0,2268.0
32187,0,764.0,664.0,0.0,3596.0,3184.0,13536.0,13484.0,2264.0
32188,0,772.0,664.0,0.0,3592.0,3196.0,13500.0,13492.0,2272.0
32189,0,760.0,624.0,0.0,3612.0,3192.0,13508.0,13484.0,2272.0
32190,0,756.0,672.0,0.0,3580.0,3164.0,13504.0,13512.0,2272.0
32191,0,776.0,628.0,0.0,3572.0,3200.0,13516.0,13500.0,2276.0
32192,0,764.0,660.0,0.0,3612.0,3176.0,13492.0,13520.0,2240.0
32193,0,752.0,640.0,0.0,3600.0,3188.0,13488.0,13492.0,2256.0
32194,0,764.0,628.0,0.0,3600.0,3188.0,13512.0,13516.0,2240.0
32195,0,784.0,656.0,0.0,3632.0,3184.0,13496.0,13520.0,2272.0
32196,0,760.0,656.0,0.0,3600.0,3148.0,13528.0,13528.0,2236.0
32197,0,776.0,640.0,0.0,3624.0,3216.0,13512.0,13500.0,2272.0
32198,0,760.0,640.0,0.0,3608.0,3168.0,13520.0,13488.0,2240.0
32199,0,760.0,664.0,0.0,3608.0,3200.0,13536.0,13496.0,2272.0
32200,0,756.0,648.0,0.0,3592.0,3188.0,13488.0,13496.0,2256.0
32201,0,744.0,636.0,0.0,3608.0,3192.0,13520.0,13500.0,2264.0
32202,0,764.0,668.0,0.0,3620.0,3212.0,13524.0,13524.0,2268.0
32203,0,784.0,648.0,0.0,3604.0,3184.0,13536.0,13532.0,2264.0
32204,0,780.0,640.0,0.0,3580.0,3196.0,13504.0,13520.0,2268.0
32205,0,772.0,652.0,0.0,3608.0,3176.0,13536.0,13520.0,2272.0
32206,0,768.0,672.0,0.0,3596.0,3152.0,13524.0,13516.0,2256.0
32207,0,780.0,672.0,0.0,3600.0,3176.0,13508.0,13484.0,2252.0
32208,0,740.0,656.0,0.0,3604.0,3164.0,13516.0,13520.0,2232.0
32209,0,776.0,632.0,0.0,3600.0,3176.0,13552.0,13508.0,2272.0
32210,0,756.0,656.0,0.0,3620.0,3196.0,13528.0,13504.0,2268.0
32211,0,792.0,652.0,0.0,3580.0,3196.0,13500.0,13532.0,2280.0
32212,0,768.0,656.0,0.0,3584.0,3164.0,13500.0,13504.0,2280.0
32213,0,788.0,628.0,0.0,3592.0,3184.0,13520.0,13512.0,2256.0
32214,0,760.0,620.0,0.0,3600.0,3184.0,13504.0,13512.0,2260.0
32215,0,776.0,656.0,0.0,3616.0,3200.0,13528.0,13536.0,2264.0
32216,0,752.0,660.0,0.0,3616.0,3156.0,13500.0,13504.0,2236.0
32217,0,780.0,628.0,0.0,3648.0,3180.0,13512.0,13544.0,2236.0
