Counts,GestreIdentifier,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
1,0,864.0,564.0,0.0,3668.0,2728.0,13496.0,13548.0,2336.0
2,0,880.0,552.0,0.0,3700.0,2744.0,13520.0,13520.0,2320.0
3,0,868.0,568.0,0.0,3684.0,2724.0,13520.0,13536.0,2328.0
4,0,884.0,560.0,0.0,3672.0,2744.0,13500.0,13520.0,2324.0
5,0,888.0,564.0,0.0,3692.0,2744.0,13528.0,13528.0,2312.0
6,0,852.0,568.0,0.0,3672.0,2760.0,13512.0,13512.0,2320.0
7,0,884.0,568.0,0.0,3688.0,2736.0,13528.0,13492.0,2320.0
8,0,864.0,560.0,0.0,3696.0,2748.0,13508.0,13536.0,2316.0
9,0,872.0,572.0,0.0,3696.0,2752.0,13532.0,13508.0,2352.0
10,0,892.0,572.0,0.0,3684.0,2724.0,13516.0,13496.0,2336.0
11,0,884.0,572.0,0.0,3676.0,2732.0,13512.0,13500.0,2324.0
12,0,868.0,576.0,0.0,3660.0,2740.0,13512.0,13500.0,2320.0
13,0,876.0,548.0,0.0,3676.0,2752.0,13520.0,13500.0,2344.0
14,0,880.0,580.0,0.0,3680.0,2732.0,13524.0,13504.0,2324.0
15,0,880.0,536.0,0.0,3660.0,2752.0,13504.0,13500.0,2324.0
16,0,868.0,584.0,0.0,3696.0,2724.0,13516.0,13532.0,2316.0
17,0,904.0,576.0,0.0,3696.0,2756.0,13512.0,13504.0,2308.0
18,0,884.0,556.0,0.0,3660.0,2752.0,13532.0,13528.0,2324.0
19,0,896.0,532.0,0.0,3644.0,2756.0,13516.0,13520.0,2332.0
20,0,888.0,556.0,0.0,3660.0,2740.0,13504.0,13516.0,2320.0
21,0,876.0,556.0,0.0,3676.0,2736.0,13504.0,13536.0,2312.0
22,0,872.0,576.0,0.0,3680.0,2732.0,13528.0,13520.0,2328.0
23,0,864.0,596.0,0.0,3696.0,2716.0,13532.0,13528.0,2324.0
24,0,888.0,584.0,0.0,3712.0,2748.0,13528.0,13520.0,2328.0
25,0,872.0,552.0,0.0,3680.0,2744.0,13536.0,13500.0,2352.0
26,0,888.0,564.0,0.0,3696.0,2736.0,13524.0,13528.0,2344.0
27,0,860.0,540.0,0.0,3680.0,2748.0,13524.0,13508.0,2316.0
28,0,868.0,544.0,0.0,3684.0,2740.0,13520.0,13512.0,2328.0
29,0,896.0,572.0,0.0,3688.0,2740.0,13524.0,13512.0,2336.0
30,0,864.0,564.0,0.0,3672.0,2716.0,13540.0,13524.0,2300.0
31,0,856.0,580.0,0.0,3680.0,2752.0,13496.0,13500.0,2324.0
32,0,868.0,572.0,0.0,3680.0,2768.0,13512.0,13508.0,2328.0
33,0,860.0,568.0,0.0,3676.0,2724.0,13532.0,13528.0,2324.0
34,0,884.0,576.0,0.0,3668.0,2732.0,13528.0,13492.0,2320.0
35,0,880.0,548.0,0.0,3696.0,2752.0,13520.0,13504.0,2300.0
36,0,860.0,556.0,0.0,3672.0,2756.0,13504.0,13528.0,2332.0
37,0,876.0,576.0,0.0,3676.0,2716.0,13516.0,13536.0,2324.0
38,0,864.0,564.0,0.0,3688.0,2740.0,13492.0,13520.0,2300.0
39,0,868.0,580.0,0.0,3696.0,2748.0,13516.0,13536.0,2336.0
40,0,868.0,576.0,0.0,3680.0,2716.0,13496.0,13524.0,2324.0
41,0,880.0,540.0,0.0,3688.0,2740.0,13504.0,13532.0,2324.0
42,0,872.0,556.0,0.0,3704.0,2756.0,13484.0,13504.0,2316.0
43,0,868.0,536.0,0.0,3680.0,2740.0,13528.0,13536.0,2332.0
44,0,896.0,584.0,0.0,3660.0,2744.0,13536.0,13520.0,2320.0
45,0,884.0,564.0,0.0,3712.0,2724.0,13524.0,13496.0,2312.0
46,0,864.0,572.0,0.0,3680.0,2724.0,13496.0,13508.0,2316.0
47,0,880.0,576.0,0.0,3668.0,2736.0,13520.0,13524.0,2328.0
48,0,876.0,584.0,0.0,3676.0,2736.0,13504.0,13512.0,2308.0
49,0,876.0,552.0,0.0,3672.0,2736.0,13460.0,13468.0,2300.0
50,0,872.0,572.0,0.0,3684.0,2732.0,13520.0,13508.0,2328.0
51,0,856.0,540.0,0.0,3680.0,2748.0,13504.0,13508.0,2316.0
52,0,868.0,592.0,0.0,3668.0,2744.0,13504.0,13520.0,2320.0
53,0,852.0,568.0,0.0,3688.0,2752.0,13536.0,13500.0,2344.0
54,0,868.0,580.0,0.0,3676.0,2732.0,13508.0,13532.0,2336.0
