Counts,GestreIdentifier,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
52283,0,768.0,624.0,0.0,3672.0,3276.0,13540.0,13504.0,2288.0
52284,0,764.0,628.0,0.0,3636.0,3280.0,13500.0,13532.0,2268.0
52285,0,772.0,616.0,0.0,3632.0,3260.0,13532.0,13516.0,2252.0
52286,0,760.0,656.0,0.0,3624.0,3296.0,13524.0,13500.0,2272.0
52287,0,768.0,624.0,0.0,3640.0,3268.0,13568.0,13512.0,2280.0
52288,0,752.0,624.0,0.0,3628.0,3284.0,13524.0,13520.0,2276.0
52289,0,752.0,620.0,0.0,3640.0,3252.0,13528.0,13532.0,2276.0
52290,0,760.0,608.0,0.0,3636.0,3264.0,13500.0,13544.0,2288.0
52291,0,760.0,616.0,0.0,3628.0,3288.0,13496.0,13516.0,2268.0
52292,0,764.0,604.0,0.0,3648.0,3276.0,13536.0,13508.0,2268.0
52293,0,764.0,632.0,0.0,3664.0,3280.0,13524.0,13528.0,2256.0
52294,0,768.0,616.0,0.0,3636.0,3276.0,13500.0,13528.0,2276.0
52295,0,776.0,624.0,0.0,3628.0,3296.0,13512.0,13500.0,2284.0
52296,0,776.0,604.0,0.0,3632.0,3260.0,13516.0,13520.0,2268.0
52297,0,772.0,604.0,0.0,3644.0,3280.0,13536.0,13516.0,2268.0
52298,0,740.0,636.0,0.0,3640.0,3276.0,13528.0,13568.0,2268.0
52299,0,804.0,632.0,0.0,3636.0,3276.0,13516.0,13524.0,2288.0
52300,0,764.0,620.0,0.0,3620.0,3248.0,13500.0,13536.0,2272.0
52301,0,752.0,624.0,0.0,3628.0,3260.0,13516.0,13512.0,2276.0
52302,0,792.0,624.0,0.0,3632.0,3260.0,13520.0,13508.0,2264.0
52303,0,772.0,608.0,0.0,3628.0,3260.0,13528.0,13500.0,2260.0
52304,0,764.0,632.0,0.0,3628.0,3252.0,13520.0,13544.0,2280.0
52305,0,748.0,612.0,0.0,3652.0,3248.0,13508.0,13520.0,2268.0
52306,0,728.0,640.0,0.0,3632.0,3260.0,13528.0,13532.0,2272.0
52307,0,764.0,612.0,0.0,3624.0,3256.0,13520.0,13528.0,2284.0
52308,0,788.0,608.0,0.0,3648.0,3264.0,13492.0,13508.0,2288.0
52309,0,760.0,620.0,0.0,3640.0,3276.0,13532.0,13520.0,2304.0
52310,0,784.0,628.0,0.0,3620.0,3268.0,13516.0,13528.0,2296.0
52311,0,768.0,620.0,0.0,3628.0,3280.0,13528.0,13528.0,2272.0
