Counts,GestreIdentifier,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
26482,0,708.0,628.0,0.0,3592.0,3136.0,13504.0,13528.0,2232.0
26483,0,716.0,620.0,0.0,3572.0,3108.0,13532.0,13516.0,2240.0
26484,0,768.0,660.0,0.0,3584.0,3128.0,13524.0,13524.0,2200.0
26485,0,732.0,640.0,0.0,3584.0,3132.0,13496.0,13520.0,2208.0
26486,0,748.0,644.0,0.0,3556.0,3124.0,13524.0,13504.0,2216.0
26487,0,736.0,660.0,0.0,3592.0,3152.0,13500.0,13528.0,2208.0
26488,0,716.0,648.0,0.0,3580.0,3128.0,13516.0,13492.0,2224.0
26489,0,732.0,648.0,0.0,3568.0,3124.0,13516.0,13500.0,2228.0
26490,0,728.0,648.0,0.0,3576.0,3148.0,13520.0,13508.0,2196.0
26491,0,724.0,656.0,0.0,3572.0,3136.0,13520.0,13528.0,2204.0
26492,0,736.0,640.0,0.0,3588.0,3132.0,13504.0,13508.0,2208.0
26493,0,716.0,668.0,0.0,3576.0,3140.0,13528.0,13516.0,2200.0
26494,0,752.0,636.0,0.0,3584.0,3148.0,13516.0,13532.0,2204.0
26495,0,728.0,640.0,0.0,3568.0,3108.0,13520.0,13544.0,2192.0
26496,0,744.0,636.0,0.0,3576.0,3132.0,13528.0,13508.0,2188.0
26497,0,740.0,648.0,0.0,3588.0,3136.0,13520.0,13508.0,2192.0
26498,0,740.0,628.0,0.0,3564.0,3100.0,13524.0,13552.0,2220.0
26499,0,728.0,652.0,0.0,3560.0,3100.0,13552.0,13508.0,2212.0
26500,0,736.0,648.0,0.0,3568.0,3108.0,13484.0,13516.0,2196.0
26501,0,732.0,656.0,0.0,3584.0,3116.0,13504.0,13524.0,2208.0
26502,0,744.0,636.0,0.0,3564.0,3140.0,13540.0,13496.0,2204.0
26503,0,728.0,656.0,0.0,3568.0,3112.0,13500.0,13516.0,2196.0
26504,0,716.0,664.0,0.0,3588.0,3100.0,13500.0,13512.0,2192.0
26505,0,752.0,644.0,0.0,3564.0,3116.0,13516.0,13524.0,2192.0
26506,0,732.0,644.0,0.0,3556.0,3124.0,13500.0,13520.0,2192.0
26507,0,740.0,648.0,0.0,3572.0,3120.0,13496.0,13552.0,2192.0
26508,0,712.0,648.0,0.0,3568.0,3116.0,13524.0,13500.0,2208.0
26509,0,724.0,636.0,0.0,3572.0,3132.0,13524.0,13536.0,2188.0
26510,0,736.0,648.0,0.0,3580.0,3116.0,13500.0,13536.0,2172.0
26511,0,716.0,652.0,0.0,3564.0,3120.0,13528.0,13552.0,2188.0
26512,0,736.0,668.0,0.0,3576.0,3124.0,13568.0,13532.0,2208.0
26513,0,724.0,656.0,0.0,3564.0,3124.0,13500.0,13528.0,2208.0
26514,0,744.0,660.0,0.0,3532.0,3100.0,13520.0,13536.0,2200.0
26515,0,716.0,668.0,0.0,3568.0,3120.0,13536.0,13516.0,2192.0
26516,0,716.0,652.0,0.0,3584.0,3140.0,13504.0,13536.0,2192.0
26517,0,736.0,656.0,0.0,3572.0,3100.0,13520.0,13516.0,2196.0
26518,0,740.0,660.0,0.0,3600.0,3100.0,13516.0,13504.0,2192.0
26519,0,732.0,672.0,0.0,3564.0,3116.0,13536.0,13520.0,2192.0
26520,0,716.0,636.0,0.0,3592.0,3124.0,13536.0,13540.0,2224.0
26521,0,764.0,636.0,0.0,3572.0,3120.0,13516.0,13524.0,2224.0
26522,0,748.0,632.0,0.0,3568.0,3104.0,13508.0,13492.0,2200.0
26523,0,744.0,660.0,0.0,3584.0,3100.0,13508.0,13500.0,2204.0
26524,0,728.0,652.0,0.0,3572.0,3152.0,13516.0,13500.0,2224.0
26525,0,740.0,672.0,0.0,3576.0,3140.0,13540.0,13536.0,2192.0
26526,0,716.0,648.0,0.0,3580.0,3132.0,13516.0,13520.0,2188.0
