Counts,GestreIdentifier,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
71164,0,604.0,460.0,0.0,3476.0,2428.0,13532.0,13528.0,2412.0
71165,0,604.0,488.0,0.0,3448.0,2412.0,13520.0,13516.0,2400.0
71166,0,612.0,480.0,0.0,3484.0,2424.0,13532.0,13528.0,2440.0
71167,0,600.0,492.0,0.0,3488.0,2396.0,13532.0,13520.0,2432.0
71168,0,588.0,500.0,0.0,3476.0,2432.0,13500.0,13532.0,2404.0
71169,0,624.0,496.0,0.0,3488.0,2400.0,13536.0,13540.0,2416.0
71170,0,592.0,496.0,0.0,3492.0,2392.0,13540.0,13524.0,2412.0
71171,0,604.0,488.0,0.0,3472.0,2416.0,13516.0,13552.0,2396.0
71172,0,616.0,492.0,0.0,3476.0,2412.0,13536.0,13504.0,2408.0
71173,0,592.0,488.0,0.0,3444.0,2420.0,13520.0,13532.0,2408.0
71174,0,608.0,476.0,0.0,3472.0,2420.0,13532.0,13532.0,2420.0
71175,0,608.0,500.0,0.0,3456.0,2424.0,13516.0,13536.0,2416.0
71176,0,572.0,492.0,0.0,3472.0,2388.0,13544.0,13544.0,2432.0
71177,0,600.0,476.0,0.0,3492.0,2408.0,13508.0,13508.0,2416.0
71178,0,580.0,476.0,0.0,3452.0,2420.0,13500.0,13500.0,2408.0
71179,0,600.0,508.0,0.0,3456.0,2428.0,13504.0,13500.0,2424.0
71180,0,592.0,488.0,0.0,3456.0,2416.0,13500.0,13524.0,2428.0
71181,0,572.0,504.0,0.0,3460.0,2424.0,13524.0,13500.0,2416.0
71182,0,608.0,492.0,0.0,3480.0,2416.0,13512.0,13516.0,2404.0
71183,0,600.0,484.0,0.0,3452.0,2400.0,13492.0,13516.0,2408.0
71184,0,600.0,488.0,0.0,3460.0,2428.0,13496.0,13520.0,2396.0
71185,0,608.0,468.0,0.0,3476.0,2396.0,13524.0,13516.0,2408.0
71186,0,600.0,480.0,0.0,3492.0,2424.0,13524.0,13504.0,2412.0
71187,0,604.0,516.0,0.0,3488.0,2404.0,13520.0,13540.0,2400.0
71188,0,592.0,512.0,0.0,3492.0,2396.0,13508.0,13552.0,2412.0
71189,0,588.0,492.0,0.0,3488.0,2408.0,13540.0,13536.0,2432.0
71190,0,612.0,476.0,0.0,3448.0,2412.0,13536.0,13532.0,2424.0
71191,0,588.0,500.0,0.0,3460.0,2424.0,13528.0,13552.0,2404.0
71192,0,596.0,480.0,0.0,3476.0,2408.0,13516.0,13508.0,2388.0
71193,0,608.0,496.0,0.0,3484.0,2432.0,13528.0,13552.0,2400.0
71194,0,564.0,512.0,0.0,3484.0,2432.0,13520.0,13552.0,2408.0
71195,0,588.0,496.0,0.0,3472.0,2432.0,13532.0,13500.0,2408.0
71196,0,624.0,492.0,0.0,3480.0,2420.0,13524.0,13536.0,2416.0
71197,0,608.0,488.0,0.0,3468.0,2396.0,13552.0,13508.0,2420.0
71198,0,608.0,480.0,0.0,3492.0,2412.0,13520.0,13536.0,2400.0
71199,0,620.0,484.0,0.0,3468.0,2404.0,13536.0,13532.0,2424.0
71200,0,596.0,480.0,0.0,3484.0,2436.0,13496.0,13544.0,2404.0
71201,0,604.0,496.0,0.0,3480.0,2432.0,13532.0,13512.0,2432.0
71202,0,600.0,472.0,0.0,3472.0,2424.0,13492.0,13516.0,2412.0
71203,0,604.0,476.0,0.0,3472.0,2416.0,13520.0,13508.0,2412.0
71204,0,592.0,484.0,0.0,3484.0,2412.0,13500.0,13532.0,2396.0
71205,0,596.0,496.0,0.0,3476.0,2396.0,13520.0,13528.0,2448.0
71206,0,596.0,500.0,0.0,3460.0,2408.0,13524.0,13516.0,2408.0
71207,0,596.0,476.0,0.0,3472.0,2416.0,13528.0,13524.0,2432.0
71208,0,600.0,484.0,0.0,3472.0,2408.0,13536.0,13520.0,2424.0
71209,0,600.0,488.0,0.0,3488.0,2416.0,13536.0,13496.0,2424.0
71210,0,580.0,460.0,0.0,3476.0,2412.0,13520.0,13544.0,2420.0
71211,0,592.0,484.0,0.0,3484.0,2412.0,13500.0,13516.0,2392.0
71212,0,572.0,472.0,0.0,3472.0,2428.0,13528.0,13520.0,2432.0
71213,0,608.0,484.0,0.0,3460.0,2412.0,13536.0,13520.0,2428.0
71214,0,596.0,484.0,0.0,3452.0,2412.0,13516.0,13536.0,2432.0
71215,0,608.0,496.0,0.0,3472.0,2424.0,13524.0,13520.0,2416.0
71216,0,600.0,496.0,0.0,3476.0,2404.0,13508.0,13536.0,2400.0
71217,0,600.0,496.0,0.0,3480.0,2396.0,13516.0,13500.0,2404.0
71218,0,608.0,468.0,0.0,3480.0,2428.0,13528.0,13512.0,2404.0
71219,0,572.0,496.0,0.0,3472.0,2404.0,13524.0,13536.0,2432.0
71220,0,612.0,476.0,0.0,3496.0,2424.0,13516.0,13508.0,2424.0
71221,0,624.0,468.0,0.0,3460.0,2400.0,13508.0,13528.0,2396.0
71222,0,640.0,508.0,0.0,3476.0,2432.0,13548.0,13532.0,2396.0
71223,0,608.0,500.0,0.0,3480.0,2416.0,13536.0,13508.0,2396.0
71224,0,572.0,488.0,0.0,3484.0,2428.0,13536.0,13512.0,2396.0
71225,0,616.0,492.0,0.0,3480.0,2408.0,13536.0,13516.0,2412.0
71226,0,596.0,476.0,0.0,3476.0,2420.0,13536.0,13520.0,2432.0
71227,0,620.0,492.0,0.0,3468.0,2412.0,13528.0,13508.0,2408.0
71228,0,608.0,484.0,0.0,3464.0,2412.0,13536.0,13512.0,2396.0
71229,0,596.0,476.0,0.0,3472.0,2396.0,13536.0,13516.0,2420.0
71230,0,624.0,480.0,0.0,3492.0,2428.0,13512.0,13552.0,2416.0
71231,0,600.0,512.0,0.0,3488.0,2432.0,13516.0,13544.0,2416.0
71232,0,616.0,464.0,0.0,3472.0,2412.0,13520.0,13504.0,2412.0
71233,0,608.0,488.0,0.0,3488.0,2424.0,13508.0,13508.0,2404.0
71234,0,604.0,500.0,0.0,3472.0,2420.0,13496.0,13500.0,2432.0
71235,0,592.0,496.0,0.0,3480.0,2432.0,13520.0,13508.0,2396.0
71236,0,572.0,476.0,0.0,3452.0,2404.0,13520.0,13504.0,2400.0
71237,0,616.0,496.0,0.0,3488.0,2420.0,13520.0,13508.0,2404.0
71238,0,608.0,468.0,0.0,3488.0,2412.0,13528.0,13500.0,2416.0
71239,0,592.0,496.0,0.0,3488.0,2408.0,13544.0,13512.0,2424.0
71240,0,608.0,484.0,0.0,3464.0,2428.0,13536.0,13520.0,2412.0
71241,0,588.0,484.0,0.0,3492.0,2408.0,13536.0,13528.0,2396.0
71242,0,588.0,492.0,0.0,3488.0,2404.0,13552.0,13512.0,2424.0
71243,0,580.0,476.0,0.0,3468.0,2412.0,13520.0,13532.0,2400.0
71244,0,600.0,504.0,0.0,3492.0,2420.0,13500.0,13524.0,2380.0
71245,0,608.0,484.0,0.0,3480.0,2416.0,13532.0,13552.0,2428.0
71246,0,576.0,512.0,0.0,3488.0,2424.0,13500.0,13556.0,2404.0
71247,0,620.0,500.0,0.0,3488.0,2432.0,13516.0,13516.0,2432.0
71248,0,604.0,512.0,0.0,3472.0,2416.0,13528.0,13536.0,2396.0
71249,0,572.0,480.0,0.0,3468.0,2424.0,13528.0,13532.0,2432.0
71250,0,608.0,484.0,0.0,3448.0,2420.0,13500.0,13516.0,2420.0
71251,0,592.0,484.0,0.0,3488.0,2428.0,13496.0,13508.0,2412.0
71252,0,588.0,500.0,0.0,3484.0,2424.0,13508.0,13532.0,2396.0
71253,0,572.0,488.0,0.0,3480.0,2416.0,13520.0,13552.0,2396.0
71254,0,592.0,492.0,0.0,3492.0,2396.0,13536.0,13528.0,2420.0
71255,0,604.0,488.0,0.0,3472.0,2436.0,13520.0,13524.0,2428.0
71256,0,588.0,512.0,0.0,3488.0,2380.0,13512.0,13552.0,2416.0
71257,0,616.0,488.0,0.0,3472.0,2408.0,13492.0,13524.0,2416.0
71258,0,604.0,476.0,0.0,3468.0,2436.0,13532.0,13540.0,2404.0
71259,0,576.0,476.0,0.0,3476.0,2400.0,13500.0,13500.0,2432.0
