Counts,GestreIdentifier,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
57880,0,760.0,628.0,0.0,3620.0,3168.0,13504.0,13520.0,2264.0
57881,0,768.0,668.0,0.0,3628.0,3148.0,13524.0,13532.0,2252.0
57882,0,760.0,636.0,0.0,3664.0,3144.0,13536.0,13500.0,2280.0
57883,0,784.0,668.0,0.0,3648.0,3144.0,13528.0,13544.0,2260.0
57884,0,756.0,664.0,0.0,3612.0,3160.0,13536.0,13504.0,2248.0
57885,0,768.0,648.0,0.0,3596.0,3144.0,13516.0,13500.0,2276.0
57886,0,784.0,648.0,0.0,3632.0,3116.0,13516.0,13520.0,2236.0
57887,0,772.0,644.0,0.0,3636.0,3136.0,13492.0,13488.0,2248.0
57888,0,756.0,652.0,0.0,3632.0,3132.0,13512.0,13496.0,2252.0
57889,0,768.0,652.0,0.0,3632.0,3156.0,13512.0,13532.0,2244.0
57890,0,764.0,644.0,0.0,3616.0,3136.0,13540.0,13524.0,2280.0
57891,0,772.0,660.0,0.0,3624.0,3116.0,13504.0,13512.0,2252.0
57892,0,792.0,644.0,0.0,3596.0,3132.0,13504.0,13520.0,2236.0
57893,0,784.0,664.0,0.0,3648.0,3144.0,13508.0,13500.0,2268.0
57894,0,732.0,632.0,0.0,3652.0,3136.0,13492.0,13544.0,2232.0
57895,0,732.0,656.0,0.0,3640.0,3124.0,13520.0,13524.0,2272.0
57896,0,780.0,656.0,0.0,3612.0,3132.0,13516.0,13504.0,2264.0
57897,0,748.0,636.0,0.0,3632.0,3140.0,13524.0,13468.0,2268.0
57898,0,764.0,652.0,0.0,3640.0,3144.0,13492.0,13508.0,2268.0
57899,0,768.0,640.0,0.0,3636.0,3144.0,13492.0,13532.0,2276.0
57900,0,760.0,660.0,0.0,3648.0,3136.0,13508.0,13520.0,2288.0
57901,0,736.0,636.0,0.0,3612.0,3152.0,13528.0,13504.0,2268.0
57902,0,784.0,672.0,0.0,3652.0,3164.0,13528.0,13536.0,2276.0
57903,0,768.0,664.0,0.0,3632.0,3148.0,13548.0,13504.0,2248.0
57904,0,776.0,664.0,0.0,3636.0,3140.0,13540.0,13528.0,2272.0
57905,0,772.0,652.0,0.0,3632.0,3144.0,13524.0,13500.0,2252.0
57906,0,784.0,644.0,0.0,3664.0,3136.0,13528.0,13524.0,2268.0
57907,0,756.0,672.0,0.0,3620.0,3168.0,13524.0,13500.0,2276.0
57908,0,768.0,656.0,0.0,3632.0,3152.0,13520.0,13508.0,2252.0
57909,0,772.0,664.0,0.0,3640.0,3168.0,13488.0,13520.0,2272.0
57910,0,760.0,668.0,0.0,3652.0,3152.0,13500.0,13532.0,2276.0
57911,0,760.0,648.0,0.0,3612.0,3124.0,13528.0,13508.0,2260.0
57912,0,760.0,668.0,0.0,3624.0,3132.0,13496.0,13516.0,2260.0
57913,0,772.0,632.0,0.0,3628.0,3136.0,13536.0,13516.0,2272.0
57914,0,780.0,664.0,0.0,3620.0,3156.0,13492.0,13516.0,2268.0
57915,0,764.0,636.0,0.0,3624.0,3140.0,13520.0,13568.0,2272.0
57916,0,756.0,672.0,0.0,3636.0,3156.0,13520.0,13520.0,2272.0
57917,0,764.0,680.0,0.0,3636.0,3136.0,13520.0,13520.0,2284.0
57918,0,756.0,664.0,0.0,3632.0,3136.0,13520.0,13536.0,2276.0
57919,0,748.0,656.0,0.0,3648.0,3144.0,13544.0,13532.0,2272.0
57920,0,764.0,656.0,0.0,3612.0,3148.0,13516.0,13524.0,2268.0
