Counts,GestreIdentifier,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
83449,0,872.0,576.0,0.0,3604.0,2396.0,13504.0,13520.0,2272.0
83450,0,856.0,568.0,0.0,3632.0,2400.0,13536.0,13516.0,2248.0
83451,0,852.0,568.0,0.0,3616.0,2392.0,13500.0,13528.0,2272.0
83452,0,868.0,556.0,0.0,3624.0,2400.0,13496.0,13504.0,2268.0
83453,0,852.0,564.0,0.0,3596.0,2384.0,13532.0,13500.0,2260.0
83454,0,860.0,572.0,0.0,3608.0,2372.0,13508.0,13492.0,2280.0
83455,0,836.0,572.0,0.0,3604.0,2364.0,13536.0,13528.0,2264.0
83456,0,864.0,576.0,0.0,3612.0,2364.0,13520.0,13508.0,2256.0
83457,0,856.0,580.0,0.0,3608.0,2396.0,13520.0,13516.0,2276.0
83458,0,832.0,564.0,0.0,3600.0,2392.0,13512.0,13468.0,2228.0
83459,0,868.0,552.0,0.0,3608.0,2400.0,13516.0,13520.0,2272.0
83460,0,852.0,560.0,0.0,3616.0,2408.0,13500.0,13512.0,2256.0
83461,0,880.0,548.0,0.0,3628.0,2392.0,13504.0,13500.0,2272.0
83462,0,876.0,548.0,0.0,3596.0,2380.0,13508.0,13504.0,2252.0
83463,0,844.0,568.0,0.0,3620.0,2380.0,13524.0,13520.0,2248.0
83464,0,864.0,576.0,0.0,3624.0,2364.0,13516.0,13536.0,2236.0
83465,0,880.0,556.0,0.0,3612.0,2376.0,13516.0,13520.0,2272.0
83466,0,860.0,556.0,0.0,3588.0,2400.0,13528.0,13492.0,2272.0
83467,0,880.0,564.0,0.0,3616.0,2392.0,13488.0,13512.0,2276.0
83468,0,880.0,592.0,0.0,3616.0,2396.0,13500.0,13536.0,2268.0
83469,0,872.0,560.0,0.0,3624.0,2388.0,13512.0,13512.0,2268.0
83470,0,828.0,572.0,0.0,3616.0,2360.0,13512.0,13484.0,2236.0
83471,0,840.0,580.0,8.0,3632.0,2320.0,13496.0,13524.0,2268.0
83472,0,840.0,564.0,0.0,3604.0,2332.0,13540.0,13500.0,2276.0
83473,0,852.0,564.0,0.0,3616.0,2336.0,13496.0,13512.0,2268.0
83474,0,864.0,568.0,0.0,3608.0,2300.0,13532.0,13536.0,2252.0
83475,0,844.0,540.0,0.0,3608.0,2300.0,13520.0,13500.0,2272.0
83476,0,856.0,576.0,0.0,3596.0,2300.0,13520.0,13504.0,2256.0
83477,0,868.0,568.0,0.0,3608.0,2284.0,13524.0,13512.0,2252.0
83478,0,844.0,568.0,0.0,3588.0,2304.0,13504.0,13508.0,2280.0
83479,0,848.0,540.0,0.0,3592.0,2308.0,13492.0,13500.0,2236.0
83480,0,860.0,588.0,0.0,3596.0,2332.0,13492.0,13536.0,2264.0
83481,0,852.0,540.0,0.0,3604.0,2332.0,13532.0,13528.0,2248.0
83482,0,852.0,576.0,0.0,3620.0,2316.0,13528.0,13512.0,2252.0
83483,0,864.0,552.0,0.0,3628.0,2304.0,13500.0,13512.0,2252.0
83484,0,868.0,568.0,0.0,3616.0,2312.0,13528.0,13516.0,2268.0
83485,0,844.0,560.0,0.0,3624.0,2312.0,13536.0,13500.0,2252.0
83486,0,836.0,536.0,0.0,3600.0,2336.0,13524.0,13504.0,2260.0
83487,0,848.0,564.0,0.0,3616.0,2288.0,13500.0,13500.0,2272.0
83488,0,860.0,592.0,0.0,3616.0,2332.0,13528.0,13508.0,2268.0
83489,0,872.0,576.0,0.0,3600.0,2312.0,13500.0,13528.0,2276.0
83490,0,864.0,548.0,0.0,3616.0,2304.0,13508.0,13496.0,2272.0
83491,0,896.0,576.0,0.0,3616.0,2308.0,13504.0,13540.0,2256.0
83492,0,860.0,568.0,0.0,3616.0,2296.0,13520.0,13500.0,2260.0
83493,0,820.0,556.0,0.0,3596.0,2336.0,13500.0,13504.0,2264.0
83494,0,844.0,592.0,0.0,3596.0,2316.0,13484.0,13516.0,2252.0
83495,0,860.0,568.0,0.0,3596.0,2316.0,13508.0,13500.0,2260.0
83496,0,868.0,564.0,0.0,3600.0,2320.0,13500.0,13536.0,2272.0
83497,0,880.0,572.0,0.0,3596.0,2304.0,13500.0,13500.0,2272.0
83498,0,828.0,556.0,0.0,3616.0,2300.0,13524.0,13524.0,2268.0
83499,0,868.0,560.0,0.0,3616.0,2288.0,13528.0,13524.0,2272.0
83500,0,844.0,568.0,0.0,3584.0,2296.0,13524.0,13516.0,2256.0
83501,0,844.0,572.0,0.0,3608.0,2316.0,13540.0,13504.0,2264.0
83502,0,880.0,576.0,0.0,3608.0,2308.0,13496.0,13516.0,2284.0
83503,0,856.0,572.0,0.0,3592.0,2276.0,13496.0,13516.0,2272.0
83504,0,852.0,560.0,0.0,3584.0,2292.0,13532.0,13508.0,2260.0
