Counts,GestreIdentifier,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
1,0,1440,252,352,3072,7740,3952,1036,668
2,0,1428,272,348,3076,7760,3936,1048,668
3,0,1452,248,336,3068,7732,3936,1040,668
4,0,1452,264,348,3080,7728,3940,1040,680
5,0,1448,244,356,3068,7744,3940,1044,688
6,0,1436,268,352,3060,7760,3940,1048,684
7,0,1460,260,328,3068,7740,3944,1044,652
8,0,1436,236,352,3060,7760,3940,1032,672
9,0,1464,248,356,3068,7744,3928,1048,672
10,0,1456,256,344,3064,7776,3936,1028,668
11,0,1424,256,328,3068,7756,3916,1032,680
12,0,1440,248,352,3064,7760,3948,1032,656
13,0,1448,248,336,3080,7744,3912,1040,668
14,0,1448,276,352,3080,7752,3936,1056,692
15,0,1448,248,316,3044,7776,3952,1032,680
16,0,1452,256,328,3072,7740,3940,1032,652
17,0,1464,256,352,3084,7744,3936,1008,660
18,0,1464,256,328,3064,7740,3924,1028,688
19,0,1448,264,360,3068,7740,3916,1072,688
20,0,1464,264,332,3080,7740,3916,1056,660
21,0,1432,236,352,3092,7756,3916,1040,660
22,0,1472,240,344,3060,7736,3928,1044,664
23,0,1404,264,332,3056,7724,3924,1056,676
24,0,1472,244,348,3036,7756,3928,1056,660
25,0,1436,268,344,3068,7760,3940,1028,704
26,0,1440,252,320,3056,7744,3936,1032,680
27,0,1460,256,328,3068,7744,3900,1028,660
28,0,1464,248,316,3084,7736,3920,1048,668
29,0,1472,256,336,3052,7732,3916,1052,668
30,0,1440,248,316,3068,7768,3912,1072,668
31,0,1440,252,352,3060,7732,3936,1044,644
32,0,1452,256,340,3072,7768,3916,1028,684
33,0,1436,252,332,3072,7752,3944,1044,668
34,0,1460,236,344,3080,7764,3928,1052,652
35,0,1468,268,340,3064,7756,3924,1032,676
36,0,1436,232,360,3068,7752,3932,1020,704
37,0,1440,272,348,3088,7744,3928,1028,668
38,0,1436,252,352,3072,7724,3932,1020,660
39,0,1472,232,332,3064,7760,3932,1004,660
40,0,1436,244,352,3064,7752,3932,1036,680
41,0,1452,260,340,3072,7748,3940,1024,688
42,0,1452,252,340,3040,7728,3944,1024,668
43,0,1456,256,332,3060,7744,3916,1056,680
44,0,1472,248,336,3072,7752,3940,1040,668
45,0,1448,256,332,3072,7744,3932,1028,676
46,0,1436,252,332,3068,7760,3944,1036,672
47,0,1468,248,328,3072,7760,3916,1040,668
48,0,1424,224,344,3060,7740,3928,1040,668
49,0,1452,248,344,3068,7760,3932,1040,660
50,0,1444,272,332,3064,7760,3928,1020,668
51,0,1444,244,344,3060,7756,3912,1036,688
52,0,1448,248,328,3040,7760,3944,1028,672
53,0,1448,264,320,3072,7744,3952,1072,664
54,0,1448,256,352,3072,7744,3928,1052,668
55,0,1452,252,336,3068,7728,3952,1056,672
56,0,1452,224,328,3064,7760,3932,1036,688
57,0,1460,268,344,3064,7768,3928,1048,668
58,0,1464,256,332,3076,7760,3936,1036,668
59,0,1468,240,340,3072,7740,3944,1028,660
60,0,1472,264,308,3060,7744,3940,1004,688
61,0,1452,256,352,3072,7732,3960,1044,664
62,0,1444,288,328,3076,7744,3940,1028,652
63,0,1420,252,336,3064,7732,3924,1036,680
64,0,1428,248,344,3072,7708,3928,1020,672
65,0,1472,244,340,3072,7748,3940,1048,668
66,0,1456,256,336,3068,7776,3924,1028,656
67,0,1464,228,340,3076,7732,3952,1056,668
68,0,1456,248,308,3088,7736,3932,1020,676
69,0,1460,260,332,3072,7760,3936,1032,672
70,0,1464,272,332,3052,7744,3900,1032,676
71,0,1456,256,336,3064,7748,3944,1024,672
72,0,1472,256,316,3072,7756,3932,1024,652
73,0,1456,260,340,3080,7756,3936,1052,668
74,0,1472,252,324,3060,7760,3932,1056,668
75,0,1444,256,352,3088,7736,3928,1020,676
76,0,1428,252,328,3084,7760,3936,1072,668
77,0,1440,272,352,3080,7752,3952,1012,668
78,0,1464,248,336,3060,7776,3916,1024,672
79,0,1448,236,344,3076,7740,3940,1052,652
80,0,1464,256,312,3064,7724,3928,1032,680
81,0,1444,264,316,3056,7740,3936,1020,656
82,0,1472,252,312,3060,7748,3924,1048,664
83,0,1436,280,328,3068,7732,3964,1044,668
84,0,1436,248,316,3052,7756,3944,1036,676
85,0,1456,256,312,3068,7736,3944,1036,672
86,0,1456,256,348,3072,7724,3916,1032,660
87,0,1456,256,336,3092,7744,3936,1020,664
88,0,1456,256,352,3060,7760,3928,1024,676
89,0,1444,248,312,3068,7752,3964,1020,688
90,0,1424,256,356,3068,7748,3952,1020,680
91,0,1472,256,320,3048,7740,3940,1028,652
92,0,1464,244,320,3052,7736,3932,1044,680
93,0,1472,252,368,3056,7756,3940,1028,676
94,0,1444,240,324,3068,7752,3920,996,664
95,0,1440,252,332,3048,7752,3940,1028,672
96,0,1448,232,316,3084,7776,3932,1020,668
97,0,1464,252,344,3076,7740,3920,1012,664
98,0,1420,276,352,3060,7740,3952,1052,656
99,0,1452,228,336,3072,7740,3936,1048,676
100,0,1436,252,344,3052,7764,3956,1036,668
101,0,1448,244,336,3080,7736,3948,1020,664
102,0,1448,248,340,3084,7740,3944,1036,668
103,0,1488,244,340,3072,7740,3900,1040,672
104,0,1452,256,316,3072,7744,3936,1024,668
105,0,1456,256,356,3076,7740,3932,1048,656
106,0,1432,272,360,3080,7772,3932,1056,688
107,0,1472,244,352,3068,7736,3940,1036,672
108,0,1456,252,340,3060,7760,3916,1028,660
109,0,1464,224,336,3060,7760,3932,1036,672
110,0,1436,288,316,3048,7756,3948,1040,672
111,0,1468,252,360,3076,7740,3920,1052,660
112,0,1456,252,344,3084,7740,3936,1056,680
113,0,1448,256,348,3068,7744,3952,1032,672
114,0,1464,252,340,3068,7744,3944,1032,676
115,0,1460,252,316,3072,7736,3932,1036,688
116,0,1456,216,324,3072,7752,3936,1020,676
117,0,1436,236,352,3068,7732,3940,1056,680
118,0,1456,264,348,3076,7760,3944,1024,688
119,0,1440,260,324,3052,7756,3928,1024,668
120,0,1436,256,316,3056,7732,3932,1036,652
121,0,1464,236,352,3072,7748,3952,1024,676
122,0,1460,256,344,3056,7760,3952,1020,672
123,0,1480,240,344,3028,7764,3916,1056,672
124,0,1472,260,360,3064,7748,3940,1036,672
125,0,1444,252,340,3060,7776,3932,1040,704
126,0,1472,252,332,3088,7776,3944,1012,676
127,0,1448,260,328,3060,7776,3936,1044,664
128,0,1436,220,348,3068,7764,3944,1028,660
129,0,1436,260,308,3072,7724,3936,1024,676
130,0,1448,256,332,3092,7744,3936,1048,648
131,0,1412,252,336,3076,7756,3924,1020,672
132,0,1452,264,360,3080,7776,3936,1028,672
133,0,1472,256,344,3036,7752,3924,1040,652
134,0,1488,216,324,3072,7768,3920,1040,652
135,0,1412,252,336,3072,7732,3944,1032,648
136,0,1428,264,328,3096,7752,3952,1024,652
137,0,1468,256,316,3064,7732,3960,1008,668
138,0,1460,244,344,3076,7760,3944,1052,652
139,0,1460,236,332,3048,7744,3924,1020,676
140,0,1472,244,332,3068,7748,3936,1012,668
141,0,1440,240,352,3092,7752,3944,1020,668
142,0,1448,236,344,3072,7732,3928,1044,672
143,0,1440,268,340,3096,7764,3932,1036,668
144,0,1448,252,324,3056,7764,3916,1020,664
145,0,1436,244,316,3080,7744,3948,1040,664
146,0,1472,256,320,3048,7736,3932,1020,672
147,0,1460,260,336,3072,7732,3952,1012,668
148,0,1452,256,336,3048,7740,3924,1032,672
149,0,1436,248,336,3056,7760,3924,1008,660
150,0,1432,256,348,3060,7748,3928,1036,664
151,0,1420,268,336,3052,7732,3944,1048,680
152,0,1460,248,328,3068,7740,3924,1032,696
153,0,1452,256,332,3076,7764,3932,1028,672
154,0,1436,240,324,3084,7752,3940,1012,652
155,0,1456,260,328,3064,7744,3924,1028,692
156,0,1436,272,352,3048,7760,3932,988,684
157,0,1440,268,328,3068,7736,3960,1036,692
158,0,1436,252,348,3088,7748,3948,1032,680
159,0,1448,256,316,3072,7740,3912,1056,680
160,0,1440,236,352,3072,7744,3928,1032,684
161,0,1432,268,316,3076,7740,3920,1040,692
162,0,1428,244,336,3060,7724,3940,1024,660
163,0,1452,264,348,3052,7768,3932,1056,680
164,0,1456,252,360,3064,7740,3948,1016,672
165,0,1420,272,336,3076,7744,3916,1020,656
166,0,1436,260,316,3080,7732,3936,1024,644
167,0,1432,244,352,3068,7736,3960,1020,676
168,0,1484,252,344,3072,7772,3924,1012,652
169,0,1444,252,336,3060,7764,3932,1040,684
170,0,1448,256,332,3068,7764,3908,1028,660
171,0,1448,276,352,3068,7736,3948,1036,676
172,0,1472,256,336,3092,7748,3936,1040,664
173,0,1420,260,348,3052,7744,3932,1028,668
174,6,1436,244,344,3076,7744,3932,1056,668
175,6,1436,260,320,3076,7768,3904,1032,664
176,6,1436,248,336,3080,7740,3940,1060,672
177,6,1464,252,324,3056,7740,3940,1040,636
178,6,1464,276,332,3076,7740,3936,1032,668
179,6,1436,260,340,3060,7752,3924,1036,688
180,6,1436,240,328,3056,7724,3912,1028,664
181,6,1436,260,348,3072,7752,3924,1028,660
182,6,1456,244,332,3048,7776,3936,996,668
183,6,1452,252,324,3060,7744,3936,1044,668
184,6,1436,256,312,3064,7724,3952,1044,668
185,6,1440,236,344,3056,7732,3916,1012,680
186,6,1464,244,352,3040,7768,3948,1028,664
187,6,1452,284,348,3068,7752,3940,1064,652
188,6,1432,244,352,3072,7772,3952,1048,684
189,6,1452,240,340,3068,7708,3948,1048,668
190,6,1460,252,316,3072,7736,3940,1024,680
191,6,1436,256,324,3076,7740,3916,1024,696
192,6,1464,260,300,3044,7752,3916,1044,672
193,6,1428,236,336,3068,7756,3928,1040,668
194,6,1448,260,336,3072,7740,3932,1056,664
195,6,1472,240,332,3064,7740,3944,1028,656
196,6,1432,244,316,3076,7724,3920,1048,668
197,6,1472,252,352,3088,7768,3900,1036,672
198,6,1436,264,340,3064,7736,3948,1056,680
199,6,1452,256,324,3072,7760,3944,1028,652
200,6,1436,236,352,3064,7756,3952,1040,680
201,6,1444,256,360,3064,7764,3956,1012,660
202,6,1456,252,328,3072,7740,3900,1040,704
203,6,1436,268,348,3084,7748,3976,1040,680
204,6,1472,244,340,3080,7740,3936,1040,688
205,6,1464,256,332,3072,7752,3932,1016,700
206,6,1432,264,348,3092,7744,3944,1048,692
207,6,1448,272,336,3080,7752,3940,1036,656
208,6,1436,252,316,3080,7752,3932,1020,680
209,6,1436,248,324,3064,7760,3932,1048,680
210,6,1444,260,316,3072,7756,3940,1032,676
211,6,1436,256,336,3068,7748,3932,1036,664
212,6,1452,244,332,3052,7756,3952,1028,664
213,6,1460,252,352,3060,7752,3932,1028,668
214,6,1432,256,352,3060,7740,3936,1036,676
215,6,1432,256,344,3060,7764,3936,1008,672
216,6,1440,260,332,3076,7736,3940,1032,668
217,6,1456,248,328,3064,7760,3932,1052,688
218,6,1420,244,320,3072,7732,3924,1044,696
219,6,1444,252,344,3048,7748,3944,1020,688
220,6,1404,264,332,3052,7756,3928,1040,644
221,6,1432,244,328,3056,7744,3900,1016,668
222,6,1448,252,336,3056,7776,3968,1036,656
223,6,1444,248,340,3076,7740,3920,1028,676
224,6,1436,264,328,3072,7724,3932,1036,660
225,6,1436,252,316,3068,7736,3944,1032,664
226,6,1436,268,340,3088,7776,3920,1056,676
227,6,1436,260,348,3076,7760,3944,1020,660
228,6,1432,228,340,3072,7752,3940,1024,668
229,6,1440,256,332,3052,7768,3932,1036,676
230,6,1436,256,344,3060,7756,3936,1020,668
231,6,1404,256,336,3060,7744,3956,1040,676
232,6,1432,260,332,3060,7756,3916,1048,636
233,6,1420,264,352,3088,7748,3944,1016,668
234,6,1436,248,336,3088,7772,3952,1040,692
235,6,1448,264,352,3052,7756,3932,1024,668
236,6,1428,256,316,3064,7748,3960,1036,688
237,6,1416,252,332,3064,7740,3916,1036,668
238,6,1436,248,332,3064,7768,3924,1052,656
239,6,1432,256,316,3064,7772,3928,1012,668
240,6,1396,248,332,3076,7752,3924,1028,644
241,6,1416,248,340,3076,7732,3944,1060,668
242,6,1396,260,316,3068,7760,3924,1036,672
243,6,1428,256,352,3064,7760,3924,1048,676
244,6,1400,288,312,3060,7752,3944,1028,668
245,6,1404,272,328,3068,7760,3952,1020,688
246,6,1400,244,328,3072,7740,3928,1052,636
247,6,1424,252,332,3060,7736,3932,1040,672
248,6,1440,236,336,3080,7768,3960,1028,696
249,6,1436,256,328,3084,7752,3940,1032,704
250,6,1424,256,332,3044,7724,3952,1036,652
251,6,1424,260,324,3072,7760,3940,1032,704
252,6,1396,220,328,3084,7756,3940,1032,672
253,6,1396,232,328,3072,7776,3948,1020,684
254,6,1400,240,332,3060,7724,3920,1064,688
255,6,1392,260,324,3040,7740,3900,1028,664
256,6,1408,256,316,3072,7752,3960,1040,684
257,6,1404,236,344,3064,7752,3912,1040,704
258,6,1404,256,328,3080,7760,3952,1024,664
259,6,1416,244,344,3076,7748,3940,1020,672
260,6,1424,268,340,3072,7744,3932,1020,636
261,6,1412,256,340,3056,7752,3944,1012,668
262,6,1448,244,340,3080,7744,3952,1036,676
263,6,1384,248,348,3064,7740,3940,1032,680
264,6,1408,244,332,3072,7752,3948,1040,680
265,6,1412,256,328,3064,7728,3920,1024,652
266,6,1400,252,336,3080,7752,3944,1040,668
267,6,1412,252,332,3072,7760,3936,1056,684
268,6,1408,272,316,3068,7764,3944,1048,680
269,6,1428,228,316,3064,7736,3952,1044,652
270,6,1388,256,340,3068,7744,3916,1032,656
271,6,1416,252,332,3052,7740,3952,1040,696
272,6,1416,252,336,3084,7756,3956,1044,660
273,6,1408,260,316,3068,7760,3900,1040,688
274,6,1396,264,340,3080,7744,3916,1064,668
275,6,1400,240,324,3064,7748,3920,1028,692
276,6,1408,232,340,3064,7744,3912,1044,688
277,6,1412,260,348,3068,7752,3932,1056,660
278,6,1392,252,352,3088,7756,3936,1036,704
279,6,1408,252,316,3068,7752,3952,1056,692
280,6,1384,252,324,3072,7740,3944,1036,688
281,6,1388,264,332,3068,7736,3928,1024,684
282,6,1400,260,336,3048,7756,3936,1056,672
283,6,1392,264,356,3072,7716,3924,1040,676
284,6,1368,256,344,3068,7724,3944,1044,668
285,6,1360,256,340,3056,7744,3928,1028,688
286,6,1396,256,364,3072,7760,3952,1004,680
287,6,1380,244,336,3088,7724,3916,1044,680
288,6,1372,260,332,3064,7736,3928,1040,704
289,6,1400,256,316,3056,7744,3900,1040,656
290,6,1388,244,332,3060,7300,3900,1024,648
291,6,1380,252,344,3092,7284,3932,1020,668
292,6,1396,256,340,3068,7256,3948,1056,688
293,6,1372,252,332,3072,7292,3948,1056,688
294,6,1388,256,336,3060,7292,3940,1040,664
295,6,1372,244,320,3060,7268,3956,1040,684
296,6,1380,252,332,3064,7288,3928,1032,668
297,6,1368,232,344,3088,7264,3928,1036,684
298,6,1380,244,308,3060,7288,3932,1028,668
299,6,1380,252,344,3056,7276,3920,1036,676
300,6,1368,252,316,3076,7288,3916,1020,664
301,6,1376,272,368,3060,7308,3936,1060,680
302,6,1356,264,352,3060,7312,3952,1032,672
303,6,1340,252,340,3072,7296,3908,1040,652
304,6,1368,268,344,3076,7264,3932,1036,688
305,6,1368,260,332,3088,7320,3936,1040,664
306,6,1352,256,360,3060,7304,3952,1028,680
307,6,1324,280,328,3072,7280,3936,1016,688
308,6,1344,268,336,3064,7284,3932,1008,704
309,6,1340,252,336,3068,7292,3928,1052,672
310,6,1352,256,336,3076,7296,3932,1040,688
311,6,1320,264,328,3076,7276,3908,1028,676
312,6,1344,268,336,3080,7296,3936,1056,672
313,6,1344,252,340,3080,7292,3936,1044,664
314,6,1348,248,344,3072,7280,3968,1028,688
315,6,1332,256,368,3044,7296,3912,1028,672
316,6,1328,252,328,3060,7300,3944,1080,656
317,6,1320,272,352,3068,7288,3916,1040,680
318,6,1332,240,352,3072,7300,3920,1028,668
319,6,1308,244,336,3072,7292,3940,1056,664
320,6,1328,220,332,3072,7600,3932,1036,668
321,6,1328,240,352,3072,7608,3928,1028,664
322,6,1328,256,332,3064,7628,3932,1016,664
323,6,1308,264,368,3084,7636,3916,1052,668
324,6,1324,272,332,3096,7648,3936,1024,668
325,6,1300,256,328,3052,7628,3940,1024,668
326,6,1312,244,344,3060,7672,3932,1040,668
327,6,1312,220,348,3068,7652,3940,1056,664
328,6,1312,272,308,3056,7652,3932,1056,664
329,6,1276,272,348,3052,7644,3928,1040,688
330,6,1308,248,324,3052,7648,3952,1028,656
331,6,1264,268,356,3084,7648,3944,1048,680
332,6,1288,248,328,3076,7624,3952,1024,668
333,6,1276,256,324,3080,7648,3940,1032,656
334,6,1304,264,336,3088,7652,3940,1056,688
335,6,1292,268,344,3068,7648,3940,1056,664
336,6,1272,228,340,3072,7652,3936,1024,668
337,6,1268,236,324,3072,7636,3932,1040,676
338,6,1272,264,328,3072,7660,3924,1052,660
339,6,1280,244,324,3052,7660,3916,1020,676
340,6,1240,248,328,3064,7656,3928,1012,660
341,6,1288,240,348,3048,7684,3952,1052,668
342,6,1260,268,352,3064,7676,3936,1032,676
343,6,1272,272,332,3060,7684,3940,1044,652
344,6,1244,252,336,3068,7692,3924,1052,660
345,6,1244,236,340,3060,7652,3928,1036,676
346,6,1268,268,360,3084,7660,3944,1064,672
347,6,1248,276,332,3060,7664,3928,1036,680
348,6,1248,240,344,3060,7632,3912,1036,668
349,6,1256,264,336,3052,7620,3928,1056,688
350,6,1260,256,336,3064,7580,3932,1036,672
351,6,1260,252,316,3052,7608,3928,1040,688
352,6,1264,236,328,3072,7660,3928,1032,692
353,6,1248,276,368,3080,7636,3936,1020,684
354,6,1240,260,340,3060,7636,3924,1020,692
355,6,1252,228,332,3072,7612,3936,1040,664
356,6,1280,260,344,3076,7604,3940,1020,668
357,6,1252,268,316,3048,7612,3920,1028,680
358,6,1256,244,340,3036,7620,3920,1036,668
359,6,1224,256,324,3056,7628,3936,1044,680
360,6,1228,248,340,3056,7644,3936,1056,676
361,6,1264,256,344,3088,7644,3920,1040,668
362,6,1196,268,352,3096,7616,3936,1024,652
363,6,1244,244,332,3084,7612,3936,1064,676
364,6,1248,244,328,3072,7648,3932,1040,668
365,6,1248,252,368,3060,7612,3928,1020,672
366,6,1232,256,332,3088,7624,3952,1036,704
367,6,1232,256,356,3068,7628,3940,1036,660
368,6,1232,256,344,3088,7616,3944,1032,672
369,6,1216,272,316,3068,7680,3932,1048,676
370,6,1232,260,328,3056,7612,3944,1056,668
371,6,1228,252,328,3076,7640,3936,1032,672
372,6,1244,256,348,3056,7616,3952,1040,676
373,6,1212,240,316,3080,7632,3944,1028,688
374,6,1232,264,332,3080,7656,3932,1036,664
375,6,1212,276,316,3052,7660,3916,1036,668
376,6,1224,248,352,3080,7612,3924,1064,684
377,6,1232,260,348,3076,7612,3916,1028,672
378,6,1216,248,316,3064,7632,3944,1044,680
379,6,1224,244,328,3080,7628,3936,1036,676
380,6,1212,272,324,3056,7648,3896,1032,668
381,6,1212,252,332,3072,7636,3928,1056,688
382,6,1216,264,316,3036,7632,3944,1020,692
383,6,1192,252,336,3052,7672,3944,1036,680
384,6,1220,240,332,3080,7636,3928,1044,668
385,6,1220,232,344,3072,7636,3932,1032,672
386,6,1216,264,336,3068,7620,3936,1028,644
387,6,1224,252,328,3068,7620,3944,1040,660
388,6,1216,236,332,3072,7640,3932,1028,672
389,6,1228,264,352,3068,7632,3928,1052,668
390,6,1188,256,328,3072,7628,3968,1040,652
391,6,1196,264,344,3076,7648,3944,1036,656
392,6,1216,252,340,3104,7612,3932,1016,672
393,6,1204,256,352,3096,7648,3928,1020,708
394,6,1216,252,340,3052,7612,3916,1056,668
395,6,1216,272,340,3044,7636,3952,1028,688
396,6,1180,228,336,3088,7628,3928,1040,676
397,6,1176,232,336,3044,7664,3932,1020,680
398,6,1180,256,360,3048,7640,3940,1048,672
399,6,1196,272,340,3096,7616,3932,1020,672
400,6,1180,240,316,3072,7640,3920,1028,672
401,6,1208,252,316,3056,7648,3948,1032,680
402,6,1188,252,344,3080,7620,3900,1044,688
403,6,1212,236,332,3052,7608,3940,1048,668
404,6,1204,264,352,3076,7608,3932,1024,660
405,6,1200,248,336,3052,7652,3932,1020,652
406,6,1184,264,352,3072,7636,3952,1028,652
407,6,1188,248,324,3052,7624,3928,1028,688
408,6,1188,260,320,3064,7648,3948,1032,664
409,6,1196,248,332,3072,7680,3940,1032,676
410,6,1204,252,352,3068,7656,3936,1024,680
411,6,1196,256,356,3076,7660,3936,1024,688
412,6,1192,276,336,3072,7672,3960,1016,704
413,6,1180,252,328,3060,7648,3940,1056,692
414,6,1180,256,328,3076,7632,3932,1044,668
415,6,1184,252,340,3064,7644,3924,1024,680
416,6,1184,248,340,3052,7632,3932,1032,668
417,6,1180,244,324,3076,7640,3936,1020,668
418,6,1188,268,352,3072,7624,3952,1044,656
419,6,1184,248,332,3076,7640,3932,1052,652
420,6,1172,240,316,3048,7656,3932,1020,652
421,6,1172,268,344,3068,7680,3928,1028,668
422,6,1148,264,328,3080,7628,3928,1016,676
423,6,1176,236,356,3064,7672,3940,1044,668
424,6,1172,264,340,3076,7612,3932,1020,668
425,6,1164,244,324,3056,7672,3932,1048,676
426,6,1176,244,344,3072,7644,3920,1016,676
427,6,1176,252,340,3052,7644,3932,1036,668
428,6,1148,280,344,3060,7644,3932,1072,668
429,6,1176,256,328,3072,7648,3932,1056,676
430,6,1180,272,332,3068,7648,3932,1020,636
431,6,1164,240,316,3036,7648,3900,1020,668
432,6,1180,228,316,3096,7648,3952,1036,660
433,6,1196,264,336,3068,7612,3928,1036,664
434,6,1196,248,344,3068,7648,3928,1036,676
435,6,1168,248,328,3052,7636,3948,1040,656
436,6,1176,268,324,3060,7640,3952,1048,688
437,6,1160,248,344,3088,7644,3932,1040,680
438,6,1172,236,320,3080,7612,3928,1040,664
439,6,1148,236,332,3072,7656,3944,1036,672
440,6,1156,252,336,3080,7612,3936,1020,680
441,6,1172,276,340,3068,7632,3928,1028,688
442,6,1152,236,344,3056,7636,3940,1020,688
443,6,1156,252,332,3072,7664,3968,1040,672
444,6,1156,256,324,3068,7656,3928,1056,660
445,6,1148,244,316,3084,7668,3928,1036,664
446,6,1176,248,308,3056,7680,3944,1056,672
447,6,1172,248,344,3088,7632,3936,1028,668
448,6,1172,272,344,3084,7628,3944,1020,664
449,6,1172,264,324,3076,7612,3948,1036,668
450,6,1168,264,328,3072,7624,3940,1048,672
451,6,1160,260,352,3068,7648,3932,1048,668
452,6,1180,248,336,3060,7680,3956,1028,676
453,6,1172,264,352,3064,7636,3968,1040,672
454,6,1164,252,328,3072,7624,3936,1036,652
455,6,1148,268,352,3068,7632,3944,1044,652
456,6,1156,252,316,3084,7644,3932,1044,680
457,6,1192,252,328,3052,7632,3936,1052,696
458,6,1152,248,332,3052,7652,3936,1036,676
459,6,1148,256,328,3072,7640,3924,1012,676
460,6,1180,236,336,3052,7628,3940,1056,688
461,6,1172,252,352,3072,7616,3928,1020,668
462,6,1168,272,340,3072,7640,3920,1036,672
463,6,1140,264,352,3064,7668,3940,1036,668
464,6,1168,252,368,3052,7652,3932,1044,668
465,6,1156,264,312,3068,7600,3936,1036,668
466,6,1140,264,320,3076,7612,3944,1056,668
467,6,1148,288,356,3068,7632,3936,1036,668
468,6,1160,260,332,3072,7624,3912,1056,652
469,6,1188,268,352,3076,7612,3936,1040,688
470,6,1200,272,336,3072,7632,3924,1056,688
471,6,1172,236,336,3072,7620,3924,1028,668
472,6,1176,240,344,3064,7624,3932,1020,668
473,6,1172,256,344,3076,7680,3960,1064,692
474,0,1172,256,352,3080,7628,3952,1020,680
475,0,1164,244,340,3072,7640,3940,1048,652
476,0,1164,236,352,3072,7680,3940,1012,684
477,0,1156,272,352,3076,7644,3936,1032,668
478,0,1148,236,324,3088,7620,3940,1028,636
479,0,1148,256,360,3104,7632,3952,1020,688
480,0,1144,244,304,3076,7624,3920,1036,668
481,0,1168,256,344,3076,7620,3940,1048,668
482,0,1168,272,352,3068,7628,3948,1020,652
483,0,1164,252,316,3084,7616,3952,1016,672
484,0,1164,240,364,3068,7628,3936,1048,676
485,0,1180,252,336,3064,7652,3912,1028,656
486,0,1148,248,332,3052,7612,3944,1024,688
487,0,1172,264,356,3072,7624,3936,1020,684
488,0,1168,264,316,3104,7628,3932,1036,692
489,0,1156,244,352,3076,7624,3936,1056,652
490,0,1156,264,368,3068,7624,3940,1032,672
491,0,1168,236,352,3068,7636,3932,1012,660
492,0,1176,260,352,3076,7644,3952,1052,684
493,0,1168,264,316,3080,7656,3936,1040,668
494,0,1184,260,328,3052,7612,3948,1032,688
495,0,1172,252,332,3064,7640,3916,1028,676
496,0,1164,260,336,3052,7640,3952,1048,684
497,0,1148,252,332,3060,7640,3936,1024,672
498,0,1200,248,336,3052,7664,3932,1044,660
499,0,1164,252,352,3084,7652,3940,1020,672
500,0,1188,256,340,3068,7648,3916,1040,668
501,0,1156,256,336,3064,7660,3916,1036,664
502,0,1188,252,328,3080,7636,3932,1016,696
503,0,1148,280,316,3072,7648,3936,1048,636
504,0,1148,256,328,3068,7636,3932,1032,664
505,0,1164,272,316,3088,7648,3952,1020,676
506,0,1176,260,324,3032,7656,3932,1048,660
507,0,1164,240,340,3060,7648,3968,1008,652
508,0,1160,264,348,3072,7656,3968,1020,700
509,0,1164,272,320,3052,7680,3936,1020,672
510,0,1152,236,336,3052,7644,3936,1020,676
511,0,1184,288,344,3068,7652,3912,1052,676
512,0,1168,260,316,3064,7676,3928,1032,692
513,0,1148,220,352,3068,7632,3936,1036,684
514,0,1164,264,336,3044,7648,3940,1052,672
515,0,1148,248,336,3072,7628,3916,1044,668
516,0,1200,268,332,3056,7696,3952,1040,656
517,0,1156,260,352,3068,7628,3932,1020,672
518,0,1148,268,344,3072,7640,3928,1020,684
519,0,1140,248,316,3076,7628,3924,1032,668
520,0,1172,256,308,3052,7648,3936,1036,688
521,0,1184,256,324,3068,7644,3900,1028,664
522,0,1172,248,344,3076,7632,3932,1044,636
523,0,1168,252,336,3072,7664,3940,988,664
524,0,1192,236,352,3084,7612,3948,1040,688
525,0,1168,280,332,3068,7648,3920,1048,688
526,0,1148,264,356,3084,7628,3944,1032,700
527,0,1148,248,316,3072,7624,3944,1036,668
528,0,1164,256,340,3060,7652,3924,1044,692
529,0,1160,252,344,3072,7648,3936,1020,668
530,0,1148,272,352,3080,7644,3900,1032,656
531,0,1172,264,336,3040,7648,3936,1020,692
532,0,1164,256,336,3068,7624,3948,1020,688
533,0,1152,268,324,3064,7668,3940,1040,676
534,0,1160,256,324,3068,7652,3952,1020,676
535,0,1148,252,316,3044,7612,3916,988,672
536,0,1188,240,352,3052,7664,3952,1016,676
537,0,1148,252,352,3056,7644,3940,1032,668
538,0,1192,256,316,3056,7632,3924,1028,688
539,0,1164,256,336,3068,7640,3920,1032,636
540,0,1148,256,348,3064,7636,3936,1024,656
541,0,1148,272,352,3104,7652,3932,1028,676
